source,source_file_identifier,order_num,field_role,sub_role,input_field_name,output_field_name,status
ccsd,CCSD_roster,1,domain,domain_id,State.IDNumber,state_id,unknown
ccsd,CCSD_roster,2,domain,alt_domain_id,Student.ID,student_id,unknown
ccsd,CCSD_roster,3,identifier,identifier,Last.Name,lname,ok
ccsd,CCSD_roster,4,identifier,identifier,Middle.Name,mname,ok
ccsd,CCSD_roster,5,identifier,identifier,First.Name,fname,ok
ccsd,CCSD_roster,6,identifier,identifier,Date.Of.Birth,dob,ok
ccsd,CCSD_roster,7,domain,domain,School.Code,school_code,unresolved
ccsd,CCSD_roster,8,domain,domain,Current.School.Name,school_name,
ccsd,CCSD_roster,9,domain,domain,Grade.Level,grade_level,
ccsd,CCSD_roster,10,domain,domain,Has.Active.IEP,has_active_iep,
ccsd,CCSD_roster,11,location,loc,Street.Address,addr,
ccsd,CCSD_roster,12,location,,City,city,
ccsd,CCSD_roster,13,location,,State,state,
ccsd,CCSD_roster,14,location,,Zip,zip,
ccpd,CCPD_arrests_csv,1,domain,,Booking_Nbr,booking_nbr,
ccpd,CCPD_arrests_csv,2,identifier,,Arrestee,fullname,
ccpd,CCPD_arrests_csv,3,domain,,Casenum,casenum,
ccpd,CCPD_arrests_csv,4,event_date,,Arrest_Date,arrest_date,
ccpd,CCPD_arrests_csv,5,domain,,UCR_CODE,ucr_code,
ccpd,CCPD_arrests_csv,6,domain,,Statute_Description,statute_description,
ccpd,CCPD_arrests_csv,7,location,,Home_Address,fulladdress,
ccpd,CCPD_arrests_csv,8,domain,,Race,race,
ccpd,CCPD_arrests_csv,9,identifier,,SEX,sex,
ccpd,CCPD_arrests_csv,10,identifier,,DOB,dob,
ccpd,CCPD_arrests_csv,11,domain,,Age,age,
ccpd,CCPD_arrests_csv,12,domain,,SBI_NBR,sbi_nbr,
ccpd,CCPD_arrests_csv,13,identifier,,SSN,ssn,
ccpd,CCPD_arrests_csv,14,domain,,Arrest_Year,arrest_year,
ccpd,CCPD_arrests_xls,1,domain,,Booking_Nbr,booking_nbr,
ccpd,CCPD_arrests_xls,2,identifier,,Arrestee,fullname,
ccpd,CCPD_arrests_xls,3,domain,,`Case #`,casenum,
ccpd,CCPD_arrests_xls,4,domain,,Booking_Nbr__1,booking_nbr_1,
ccpd,CCPD_arrests_xls,5,domain,,Arrestee__1,arrestee_full_name,
ccpd,CCPD_arrests_xls,6,event_date,,Arrest_Date,arrest_date,
ccpd,CCPD_arrests_xls,7,domain,,UCR_CODE,ucr_code,
ccpd,CCPD_arrests_xls,8,location,,Home_Y,lat,
ccpd,CCPD_arrests_xls,9,location,,Home_X,lon,
ccpd,CCPD_arrests_xls,10,location,,Arrest_Y,alt_lat,
ccpd,CCPD_arrests_xls,11,location,,Arrest_X,alt_lon,
ccpd,CCPD_arrests_xls,12,location,,Location_Of_Arrest,alt_fulladdress,
ccpd,CCPD_arrests_xls,13,domain,,Statute_Description,statute_description,
ccpd,CCPD_arrests_xls,14,location,,Home_Address,fulladdress,
ccpd,CCPD_arrests_xls,15,domain,,Race,race,
ccpd,CCPD_arrests_xls,16,identifier,,SEX,sex,
ccpd,CCPD_arrests_xls,17,identifier,,DOB,dob,
ccpd,CCPD_arrests_xls,18,domain,,Age,age,
ccpd,CCPD_arrests_xls,19,domain,,SBI_NBR,sbi_nbr,
ccpd,CCPD_arrests_xls,20,identifier,,SSN,ssn,
njvoter,NJ_voter_registration,1,domain,,V1,garbage,
njvoter,NJ_voter_registration,2,domain,,V2,county,
njvoter,NJ_voter_registration,3,domain,,V3,voter_id_field,
njvoter,NJ_voter_registration,4,domain,,V4,old_voter_id_field,
njvoter,NJ_voter_registration,5,identifier,,V5,lname,
